row,kind,pair_index,bin1_1based,bin2_1based,bin1,bin2,theta_index,theta_arcmin,value
249,xim,12,4,4,src3,src3,6,50.747257163882935,2.6064378181186303e-06
250,xim,12,4,4,src3,src3,7,103.29898311924559,1.4346292181790408e-06
251,xim,12,4,4,src3,src3,8,210.27106704526622,6.569934494186884e-07
252,xim,13,4,5,src3,src4,0,0.7133649061081178,5.139858606576341e-05
253,xim,13,4,5,src3,src4,1,1.4520956109204288,-2.3527383152277769e-07
254,xim,13,4,5,src3,src4,2,2.955824775230527,1.6824320139239517e-05
255,xim,13,4,5,src3,src4,3,6.016752640915019,7.130811830804668e-06
256,xim,13,4,5,src3,src4,4,12.247448713915889,8.435658880290694e-06
257,xim,13,4,5,src3,src4,5,24.930391683376275,5.075669918672113e-06
258,xim,13,4,5,src3,src4,6,50.747257163882935,3.2513495340264046e-06
259,xim,13,4,5,src3,src4,7,103.29898311924559,1.9499082458758375e-06
260,xim,13,4,5,src3,src4,8,210.27106704526622,1.2971679827122282e-06
261,xim,14,5,5,src4,src4,0,0.7133649061081178,-5.833406518152026e-05
262,xim,14,5,5,src4,src4,1,1.4520956109204288,3.4451844581681894e-05
263,xim,14,5,5,src4,src4,2,2.955824775230527,1.0119107163535918e-05
264,xim,14,5,5,src4,src4,3,6.016752640915019,1.782156019228015e-05
265,xim,14,5,5,src4,src4,4,12.247448713915889,1.3415142276898909e-05
266,xim,14,5,5,src4,src4,5,24.930391683376275,7.4361241888141595e-06
267,xim,14,5,5,src4,src4,6,50.747257163882935,5.119819641322087e-06
268,xim,14,5,5,src4,src4,7,103.29898311924559,3.322391696661366e-06
269,xim,14,5,5,src4,src4,8,210.27106704526622,1.3348450589533672e-06
