leakage_strength,I_over_H,mismatch_entropy_over_H,schematic_error_proxy,epsilon
0.8333333333333334,0.9698026165776815,0.030197383422318487,0.030197383422318487,0.08
0.8366666666666667,0.9702224343640877,0.02977756563591232,0.02977756563591232,0.08
0.8400000000000001,0.9706364156523006,0.029363584347699322,0.029363584347699322,0.08
0.8433333333333334,0.9710446415839783,0.028955358416021718,0.028955358416021718,0.08
0.8466666666666667,0.97144719217271,0.02855280782729001,0.02855280782729001,0.08
0.8500000000000001,0.9718441463197,0.02815585368030008,0.02815585368030008,0.08
0.8533333333333334,0.9722355818292316,0.02776441817076838,0.02776441817076838,0.08
0.8566666666666667,0.9726215754239181,0.027378424576081885,0.027378424576081885,0.08
0.8600000000000001,0.9730022027597397,0.026997797240260326,0.026997797240260326,0.08
0.8633333333333334,0.9733775384408726,0.026622461559127383,0.026622461559127383,0.08
0.8666666666666667,0.973747656034312,0.02625234396568796,0.02625234396568796,0.08
0.8700000000000001,0.9741126280842911,0.02588737191570884,0.02588737191570884,0.08
0.8733333333333334,0.9744725261265001,0.02552747387349987,0.02552747387349987,0.08
0.8766666666666667,0.9748274207021074,0.025172579297892596,0.025172579297892596,0.08
0.88,0.9751773813715859,0.02482261862841405,0.02482261862841405,0.08
0.8833333333333334,0.9755224767283474,0.02447752327165266,0.02447752327165266,0.08
0.8866666666666667,0.9758627744121863,0.024137225587813747,0.024137225587813747,0.08
0.89,0.9761983411225381,0.023801658877461843,0.023801658877461843,0.08
0.8933333333333334,0.9765292426315525,0.023470757368447465,0.023470757368447465,0.08
0.8966666666666667,0.9768555437969845,0.023144456203015522,0.023144456203015522,0.08
0.9,0.977177308574907,0.02282269142509297,0.02282269142509297,0.08
0.9033333333333334,0.9774946000322468,0.022505399967753248,0.022505399967753248,0.08
0.9066666666666667,0.977807480359145,0.022192519640854974,0.022192519640854974,0.08
0.91,0.9781160108811476,0.021883989118852417,0.021883989118852417,0.08
0.9133333333333334,0.9784202520712244,0.021579747928775553,0.021579747928775553,0.08
0.9166666666666667,0.9787202635616229,0.021279736438377158,0.021279736438377158,0.08
0.92,0.9790161041555553,0.02098389584444466,0.02098389584444466,0.08
0.9233333333333333,0.9793078318387255,0.020692168161274557,0.020692168161274557,0.08
0.9266666666666667,0.9795955037906929,0.020404496209307014,0.020404496209307014,0.08
0.93,0.9798791763960815,0.020120823603918515,0.020120823603918515,0.08
0.9333333333333333,0.9801589052556298,0.01984109474437028,0.01984109474437028,0.08
0.9366666666666668,0.9804347451970897,0.019565254802910305,0.019565254802910305,0.08
0.9400000000000001,0.980706750285973,0.01929324971402702,0.01929324971402702,0.08
0.9433333333333334,0.9809749738361477,0.01902502616385221,0.01902502616385221,0.08
0.9466666666666668,0.9812394684202886,0.018760531579711356,0.018760531579711356,0.08
0.9500000000000001,0.9815002858801808,0.01849971411981923,0.01849971411981923,0.08
0.9533333333333334,0.9817574773368812,0.01824252266311874,0.01824252266311874,0.08
0.9566666666666668,0.982011093200739,0.01798890679926099,0.01798890679926099,0.08
0.9600000000000001,0.9822611831812752,0.017738816818724756,0.017738816818724756,0.08
0.9633333333333334,0.9825077962969267,0.017492203703073247,0.017492203703073247,0.08
0.9666666666666667,0.9827509808846537,0.017249019115346265,0.017249019115346265,0.08
0.9700000000000001,0.9829907846094139,0.01700921539058611,0.01700921539058611,0.08
0.9733333333333334,0.983227254473505,0.016772745526495048,0.016772745526495048,0.08
0.9766666666666667,0.9834604368257773,0.016539563174222668,0.016539563174222668,0.08
0.9800000000000001,0.9836903773707185,0.016309622629281432,0.016309622629281432,0.08
0.9833333333333334,0.9839171211774116,0.01608287882258842,0.01608287882258842,0.08
0.9866666666666667,0.9841407126883683,0.015859287311631637,0.015859287311631637,0.08
0.9900000000000001,0.9843611957282409,0.015638804271759118,0.015638804271759118,0.08
