t,memory+external,channel,causal-boundary,thermodynamic,Cacc,active_bottleneck
52.300000000000004,5.0,3.7102871828138237,4.390292409208198,4.868317935890131,3.7102871828138237,channel
52.400000000000006,5.0,3.7100857656896586,4.376825110416396,4.867684809864575,3.7100857656896586,channel
52.5,5.0,3.709888248367534,4.36325167519853,4.867039172108221,3.709888248367534,channel
52.6,5.0,3.7096945570406277,4.349575134941909,4.866380781034472,3.7096945570406277,channel
52.7,5.0,3.709504619232961,4.335798632170562,4.865709390620588,3.709504619232961,channel
52.800000000000004,5.0,3.7093183637779825,4.321925418425921,4.865024750335501,3.7093183637779825,channel
52.900000000000006,5.0,3.7091357207973936,4.307958851908879,4.8643266050668394,3.7091357207973936,channel
53.0,5.0,3.708956621680214,4.2939023948844515,4.863614695047177,3.708956621680214,channel
53.1,5.0,3.708780999062096,4.279759610851166,4.862888755779513,3.708780999062096,channel
53.2,5.0,3.7086087868048825,4.265534161478133,4.862148517961984,3.7086087868048825,channel
53.300000000000004,5.0,3.708439919976409,4.251229803313622,4.8613937074118425,3.708439919976409,channel
53.400000000000006,5.0,3.708274334830559,4.236850384269884,4.8606240449886915,3.708274334830559,channel
53.5,5.0,3.708111968787563,4.222399839889768,4.859839246517006,3.708111968787563,channel
53.6,5.0,3.707952760414547,4.207882189401592,4.859039022707948,3.707952760414547,channel
53.7,5.0,3.707796649406332,4.193301531569583,4.858223079080499,3.707796649406332,channel
53.800000000000004,5.0,3.70764357656648,4.178662040347981,4.857391115881927,3.70764357656648,channel
53.900000000000006,5.0,3.707493483788591,4.163967960347795,4.8565428280075995,3.707493483788591,channel
54.0,5.0,3.707346314037844,4.1492236021259155,4.8556779049201815,3.707346314037844,channel
54.1,5.0,3.707202011332795,4.134433337307088,4.854796030568222,3.707202011332795,channel
54.2,5.0,3.7070605207274103,4.119601593549946,4.853896883304174,3.7070605207274103,channel
54.300000000000004,5.0,3.7069217882933576,4.104732849368989,4.852980135801855,3.7069217882933576,channel
54.400000000000006,5.0,3.706785761102536,4.0898316288249985,4.852045454973393,3.706785761102536,channel
54.5,5.0,3.706652387209854,4.074902496097015,4.851092501885677,3.706652387209854,channel
54.6,5.0,3.7065216156362486,4.059950049949456,4.850120931676355,3.7065216156362486,channel
54.7,5.0,3.7063933963519498,4.044978918108484,4.849130393469398,3.7063933963519498,channel
54.800000000000004,5.0,3.706267680259986,4.029993751562104,4.848120530290284,3.706267680259986,channel
54.900000000000006,5.0,3.7061444191799247,4.014999218798824,4.847090978980832,3.7061444191799247,channel
55.0,5.0,3.7060235658318565,4.0,4.846041370113726,3.7060235658318565,channel
55.1,5.0,3.705905073820615,3.9850007812011747,4.84497132790677,3.705905073820615,channel
55.2,5.0,3.705788897620227,3.970006248437895,4.843880470136937,3.705788897620227,channel
55.300000000000004,5.0,3.7056749925586026,3.955021081891515,4.8427684080542255,3.7056749925586026,channel
55.400000000000006,5.0,3.70556331480245,3.9400499500505433,4.841634746295421,3.70556331480245,channel
55.5,5.0,3.705453821342426,3.925097503902985,4.840479082797768,3.705453821342426,channel
55.6,5.0,3.7053464699785064,3.9101683711750006,4.839301008712644,3.7053464699785064,channel
55.7,5.0,3.7052412193055906,3.8952671506310104,4.838100108319281,3.7052412193055906,channel
55.800000000000004,5.0,3.7051380286993214,3.8803984064500523,4.836875958938595,3.7051380286993214,channel
55.900000000000006,5.0,3.705036858302131,3.8655666626929115,4.83562813084719,3.705036858302131,channel
56.0,5.0,3.7049376690095057,3.8507763978740845,4.8343561871916085,3.7049376690095057,channel
56.1,5.0,3.704840422456464,3.8360320396522045,4.833059683902904,3.704840422456464,channel
56.2,5.0,3.704745081004254,3.821337959652018,4.831738169611588,3.704745081004254,channel
56.300000000000004,5.0,3.7046516077272598,3.806698468430416,4.830391185563068,3.7046516077272598,channel
56.400000000000006,5.0,3.7045599664001196,3.7921178105984072,4.829018265533617,3.7045599664001196,channel
56.5,5.0,3.7044701214850515,3.7776001601102327,4.827618935746993,3.7044701214850515,channel
56.6,5.0,3.704382038119383,3.763149615730115,4.826192714791782,3.704382038119383,channel
56.7,5.0,3.704295682103287,3.7487701966863773,4.824739113539561,3.704295682103287,channel
