t,R_target_bits,Cacc_bits,Delta_FDS_bits,Qdot_over_kBT
39.7,3.9828921423310435,3.813083070863811,0.16980907146723245,0.11770267912101443
39.800000000000004,3.9828921423310435,3.8111203428087017,0.17177179952234178,0.11906313853861937
39.900000000000006,3.9828921423310435,3.809186954102563,0.17370518822848036,0.12040326146920576
40.0,3.9828921423310435,3.8072826298199063,0.1756095125111372,0.1217232384766012
40.1,3.9828921423310435,3.8054070917882026,0.17748505054284092,0.12302326237530957
40.2,3.9828921423310435,3.8035600588409952,0.17933208349004826,0.12430352805506766
40.300000000000004,3.9828921423310435,3.801741247064871,0.18115089526617245,0.12556423230965738
40.400000000000006,3.9828921423310435,3.799950370040267,0.18294177229077668,0.12680557366999137
40.5,3.9828921423310435,3.7981871390760515,0.18470500325499195,0.1280277522415132
40.6,3.9828921423310435,3.7964512634378753,0.18644087889316818,0.12923096954591773
40.7,3.9828921423310435,3.7947424505702587,0.18814969176078478,0.13041542836721073
40.800000000000004,3.9828921423310435,3.7930604063124247,0.1898317360186188,0.13158133260210544
40.900000000000006,3.9828921423310435,3.791404835107873,0.19148730722317042,0.1327288871147566
41.0,3.9828921423310435,3.789775440207717,0.19311670212332643,0.13385829759581852
41.1,3.9828921423310435,3.7881719238677984,0.19472021846324505,0.1349697704258149
41.2,3.9828921423310435,3.7865939875396237,0.19629815479141977,0.13606351254279234
41.300000000000004,3.9828921423310435,3.7850413320551435,0.1978508102759,0.13713973131424073
41.400000000000006,3.9828921423310435,3.7835136578054414,0.19937848452560214,0.1381986344132358
41.5,3.9828921423310435,3.7820106649133707,0.20088147741767282,0.13924042969877623
41.6,3.9828921423310435,3.780532053400205,0.20236008893083834,0.1402653251002704
41.7,3.9828921423310435,3.779077523346371,0.20381461898467235,0.14127352850612512
41.800000000000004,3.9828921423310435,3.777646775046325,0.20524536728471832,0.14226524765639292
41.900000000000006,3.9828921423310435,3.776239509157662,0.20665263317338134,0.1432406900394179
42.0,3.9828921423310435,3.77485542684453,0.20803671548651348,0.14420006279242834
42.1,3.9828921423310435,3.7734942299154355,0.209397912415608,0.14514357260601707
42.2,3.9828921423310435,3.772155620955531,0.21073652137551235,0.14607142563244704
42.300000000000004,3.9828921423310435,3.7708393034534815,0.212052838877562,0.14698382739771446
42.400000000000006,3.9828921423310435,3.7695449819229943,0.21334716040804924,0.1478809827173097
42.5,3.9828921423310435,3.768272362019119,0.2146197803119243,0.1487630956156052
42.6,3.9828921423310435,3.7670211506494256,0.21587099168161794,0.1496303692487929
42.7,3.9828921423310435,3.7657910560801406,0.21710108625090285,0.15048300583131483
42.800000000000004,3.9828921423310435,3.7645817880373764,0.21831035429366707,0.15132120656569809
42.900000000000006,3.9828921423310435,3.7633930578035355,0.219499084527508,0.15214517157573126
43.0,3.9828921423310435,3.762224578309012,0.22066756402203147,0.15295509984290234
43.1,3.9828921423310435,3.7610760642192953,0.2218160781117482,0.15375118914602284
43.2,3.9828921423310435,3.7599472320175815,0.22294491031346197,0.15453363600396602
43.300000000000004,3.9828921423310435,3.7588378000830156,0.2240543422480279,0.15530263562143357
43.400000000000006,3.9828921423310435,3.7577474887646565,0.22514465356638702,0.1560583818376868
43.5,3.9828921423310435,3.7566760204512972,0.22621612187974627,0.15680106707815109
43.6,3.9828921423310435,3.75562311963723,0.22726902269381366,0.15753088230883117
43.7,3.9828921423310435,3.7545885129840872,0.22830362934695625,0.1582480169934455
